time,Base Model,DURS Model,CE Model,ET Model,CE & ET Model
1900.0,41.5625,41.5625,41.5625,41.5625,41.5625
1900.5,42.30337203205284,42.30337203205284,42.30337203205284,38.847529840617874,38.847529840617874
1901.0,42.93023415760776,42.93023415698148,42.93023415869634,39.39036035781533,39.39035854921704
1901.5,43.62057039847273,43.620570398613275,43.620570398228416,39.95203412979999,39.95203059831791
1902.0,44.33210785958177,44.33210786289655,44.33210785381997,40.514966570462796,40.51496124999028
1902.5,45.02815237710964,45.02815238645238,45.02815236087008,41.079762105483624,41.07975491798025
1903.0,45.71193913543787,45.71193915378337,45.711939103549774,41.6431306889409,41.643121603730215
1903.5,46.38157862384015,46.38157865663593,46.38157856683463,42.20518911177993,42.20517805092975
1904.0,47.02874796149391,47.02874801075878,47.028747875861825,42.745724665779115,42.745711684888775
1904.5,47.67264802250024,47.6726480913462,47.67264790283236,43.27146868200377,43.271453686522705
1905.0,48.31498424136929,48.31498433270895,48.31498408260291,43.7860353104316,43.78601821715794
1905.5,48.957240675667435,48.95724079220723,48.95724047309825,44.27188847095075,44.271869292178984
1906.0,49.600704315300646,49.600704459546286,49.60070406457324,44.755545754258605,44.75552428759744
1906.5,50.24649059496622,50.246490769234846,50.246490292052904,45.23675291210132,45.23672908380016
1907.0,50.895567640561765,50.8955678469974,50.895567281735815,45.71675913686469,45.71673285761891
1907.5,51.548778119098685,51.54877835968882,51.54877770090542,46.196646874301805,46.196618052174
1908.0,52.20685831555815,52.20685859215042,52.20685783478582,46.67733938542372,46.677307925856866
1908.5,52.870454462357905,52.870454776676176,52.87045391600983,47.159626207308214,47.1595920132821
1909.0,53.54013654303374,53.540136896693205,53.540135928301936,47.644178920289285,47.64414189308432
1909.5,54.21640987039601,54.21641026491717,54.216409184636696,48.13157681865501,48.131536856907374
1910.0,54.899724754286936,54.89972519110852,54.89972399499819,48.62232445867889,48.62228145865851
1910.5,55.59048455658961,55.59048503708016,55.590483721390676,49.116862269970206,49.1168161256385
1911.0,56.28905239932604,56.2890529247946,56.2890514859387,49.614907636843654,49.614858490142744
1911.5,56.99575675545958,56.99575732716538,56.995755761691235,50.11506453955126,50.11501296962799
1912.0,57.711439550743044,57.711440191893864,57.711438436238524,50.61848229885108,50.61842820067707
1912.5,58.43667063635909,58.43667134863265,58.436669398190986,51.12574722896588,51.12569056974817
1913.0,59.171745817218095,59.17174660229232,59.171744452455,51.63710899167515,51.63704981477879
1913.5,59.91715292963316,59.917153788647795,59.917151436275034,52.152563870100906,52.15250228823804
