time,ET Model,CE & ET Model
1900.0,0.11295384377886362,0.11295553504070316
1900.5,0.11295384377886362,0.11295553504070316
1901.0,0.11226145913282229,0.11226312805627368
1901.5,0.11091392632791257,0.11091557469779462
1902.0,0.10892259706584516,0.10892422687875822
1902.5,0.1062977993698126,0.10629941267717226
1903.0,0.10304904727188802,0.10305064618383504
1903.5,0.09961407902949175,0.09961562464437387
1904.0,0.09629360972850869,0.09629510382289475
1904.5,0.0930838227375584,0.09308526702879825
1905.0,0.08998102864630646,0.08998242479450498
1905.5,0.0869816610247629,0.08698301063468815
1906.0,0.08408227232393747,0.0840835769468652
1906.5,0.08127952991313955,0.08128079104863636
1907.0,0.07857021224936823,0.07857143134701515
1907.5,0.07595120517438929,0.07595238363544798
1908.0,0.07341949833524297,0.07342063751426639
1908.5,0.0709721817240682,0.07097328293045752
1909.0,0.06860644233326593,0.0686075068327756
1909.5,0.06631956092215707,0.06632058993834974
1910.0,0.0641089088914185,0.06410990360707142
1910.5,0.06197194526170455,0.06197290682016904
1911.0,0.05990621375298106,0.05990714325949674
1911.5,0.05790933996121502,0.057910238484180185
1912.0,0.05597902862917452,0.05597989720137418
1912.5,0.05411306100820203,0.054113900627995044
1913.0,0.052309292307928634,0.05231010394039521
1913.5,0.05056564923099768,0.050566433809048704
1914.0,0.04888012758996442,0.048880886015413745
1914.5,0.047250790003632276,0.04725152314823329
1915.0,0.045675763670177866,0.04567647237662551
1915.5,0.04415323821450527,0.04415392329740466
1916.0,0.0426814636073551,0.042682125854157836
1916.5,0.041258748153776593,0.04125938832568591
1917.0,0.039883456548650706,0.03988407538149638
1917.5,0.038554007997029016,0.03855460620211317
1918.0,0.037268874397128046,0.037269452662042735
1918.5,0.036026578583890446,0.03602713757330798
1919.0,0.0348256926310941,0.03482623298753105
1919.5,0.03366483621005763,0.03366535855461335
1920.0,0.03254267500305571,0.03254317993612624
1920.5,0.03145791916962052,0.0314584072715887
1921.0,0.030409321863966502,0.030409793695869075
1921.5,0.029395677801834285,0.02939613390600677
1922.0,0.028415821875106474,0.028416262775806545
1922.5,0.027468627812602925,0.027469054016612995
1923.0,0.02655300688551616,0.026553418882725895
1923.5,0.025667906655998954,0.025668304919968365
1924.0,0.024812309767465655,0.02481269475596942
1924.5,0.0239852327752168,0.023985604930770437
1925.0,0.023185725016042907,0.023186084766411423
1925.5,0.022412867515508143,0.02241321527419771
1926.0,0.021665771931657873,0.021666108098391118
1926.5,0.020943579533935944,0.020943904495111413
1927.0,0.02024546021613808,0.020245774345274366
1927.5,0.01957061154226681,0.019570915200431888
1928.0,0.01891825782419125,0.01891855136041749
1928.5,0.018287649230051543,0.018287932981736907
1929.0,0.01767806092238316,0.01767833521567901
1929.5,0.017088792224970388,0.017089057375156376
1930.0,0.016519165817471374,0.01651942212931783
1930.5,0.015968526956888995,0.015968774725007236
1931.0,0.015436242724992695,0.015436482234173661
1931.5,0.014921701300826273,0.014921932826367872
1932.0,0.014424311257465397,0.014424535065488943
1932.5,0.01394350088221655,0.013943717229972645
1933.0,0.013478717519476,0.013478926655640223
1933.5,0.013029426935493466,0.013029629100452215
1934.0,0.01259511270431035,0.012595308130437141
1934.5,0.012175275614166672,0.012175464526089237
1935.0,0.011769433093694449,0.011769615708552929
1935.5,0.011377118657237967,0.011377295184934497
1936.0,0.010997881368663368,0.010998052012103347
1936.5,0.010631285323041256,0.010631450278366568
1937.0,0.010276909145606547,0.010277068602421016
1937.5,0.009934345507419663,0.009934499649006983
1938.0,0.00960320065717234,0.00960334966070675
1938.5,0.009283093968599929,0.009283238005349859
1939.0,0.008973657502979931,0.008973796738504864
1939.5,0.008674535586213934,0.008674670180554702
1940.0,0.008385384400006803,0.008385514507869545
1940.5,0.008105871586673244,0.008105997357607227
1941.0,0.007835675867117468,0.007835797445686986
1941.5,0.007574486671546886,0.00757460419749742
1942.0,0.007322003782495323,0.007322117390914173
1942.5,0.007077936989745479,0.007078046811217034
1943.0,0.006842005756753963,0.0068421119175098
1943.5,0.006613938898195498,0.006614041520259473
1944.0,0.006393474268255648,0.006393573469584157
1944.5,0.006180358459313793,0.006180454353931351
1945.0,0.00597434651067,0.005974439208800307
1945.5,0.005775201626981001,0.00577529123517363
1946.0,0.005582694906081634,0.005582781527334509
1946.5,0.005396605075878913,0.005396688809756692
1947.0,0.005216718240016282,0.005216799182764802
1947.5,0.00504282763201574,0.005042905876672642
1948.0,0.004874733377615215,0.004874809014116887
1948.5,0.004712242265028041,0.004712315380312991
1949.0,0.0045551675228604396,0.004555238200969224
1949.5,0.004403328605431758,0.004403396927603584
1950.0,0.0042565509852507,0.004256617030016798
1950.5,0.00411466595240901,0.004114729795682904
1951.0,0.0039775104206620435,0.003977572135826808
1951.5,0.004072726330199754,0.004070028042594829
1952.0,0.004814478444962099,0.004808998621097817
1952.5,0.006184185959881634,0.0061759828072228545
1953.0,0.008149853173494419,0.008139027418809612
1953.5,0.010676124838072365,0.010662816987176214
1954.0,0.013710234140219615,0.013694635686061064
1954.5,0.017165697648374393,0.01714802312744639
1955.0,0.020967404162304658,0.02094789369962547
1955.5,0.02503776127975973,0.02501667502764615
1956.0,0.029297927227602067,0.0292755394811167
1956.5,0.033669258462988357,0.03364585162164912
1957.0,0.03807470998605389,0.03805056849309878
1957.5,0.042440158513325714,0.04241556290023762
1958.0,0.046695624638170924,0.046670845794642396
1958.5,0.05077637361851659,0.05075166739736564
1959.0,0.054623878285489806,0.05459948053886254
1959.5,0.058186631611362026,0.05816275373928156
1960.0,0.061420800542787715,0.06139762561840151
