time,Base Model,DURS Model
1900.0,1.0,1.0
1900.5,0.9998586875,0.9998586875
1901.0,0.9997145355844627,0.9997145355844627
1901.5,0.9995678260264472,0.9995678260264472
1902.0,0.9994182645099688,0.9994182645099688
1902.5,0.9992657055571931,0.9992657055571931
1903.0,0.9991101375735576,0.9991101375735576
1903.5,0.9989515484275623,0.9989515484275623
1904.0,0.9987899411676128,0.9987899411676128
1904.5,0.9986253554782706,0.9986253554782706
1905.0,0.9984577711472041,0.9984577711472041
1905.5,0.9982871655128426,0.9982871655128426
1906.0,0.998113513303847,0.998113513303847
1906.5,0.9979367865807686,0.9979367865807686
1907.0,0.9977569547386708,0.9977569547386708
1907.5,0.9975739845451609,0.9975739845451609
1908.0,0.9973878401979769,0.9973878401979769
1908.5,0.9971984833923071,0.9971984833923071
1909.0,0.9970058733917593,0.9970058733917593
1909.5,0.9968099670992346,0.9968099670992346
1910.0,0.9966107191254254,0.9966107191254254
1910.5,0.9964080818535754,0.9964080818535754
1911.0,0.9962020054997293,0.9962020054997293
1911.5,0.9959924381680676,0.9959924381680676
1912.0,0.9957793259011668,0.9957793259011668
1912.5,0.995562612725171,0.995562612725171
1913.0,0.9953422406237904,0.9953422406237904
1913.5,0.9951181495482523,0.9951181495482523
1914.0,0.9948902763280356,0.9948902763280356
1914.5,0.994658554836582,0.994658554836582
1915.0,0.994422916590364,0.994422916590364
1915.5,0.9941832910793681,0.9941832910793681
1916.0,0.9939396059459882,0.9939396059459882
1916.5,0.9936917870784298,0.9936917870784298
1917.0,0.9934397586558176,0.9934397586558176
1917.5,0.9931834431658619,0.9931834431658619
1918.0,0.9929227614067363,0.9929227614067363
1918.5,0.9926576325532979,0.9926576325532979
1919.0,0.9923879743045646,0.9923879743045646
1919.5,0.9921137027378064,0.9921137027378064
1920.0,0.9918347322192634,0.9918347322192634
1920.5,0.9915509753457699,0.9915509753457699
1921.0,0.9912623429028835,0.9912623429028835
1921.5,0.9909687438314999,0.9909687438314999
1922.0,0.99067008519851,0.99067008519851
1922.5,0.9903662721690664,0.9903662721690664
1923.0,0.9900572079791327,0.9900572079791327
1923.5,0.9897427939076118,0.9897427939076118
1924.0,0.9894229292476872,0.9894229292476872
1924.5,0.9890975112771947,0.9890975112771947
1925.0,0.9887664352279478,0.9887664352279478
1925.5,0.9884295942539857,0.9884295942539857
1926.0,0.9880868793987463,0.9880868793987463
1926.5,0.9877381795611789,0.9877381795611789
1927.0,0.9873833814608151,0.9873833814608151
1927.5,0.9870223696018201,0.9870223696018201
1928.0,0.9866550262360493,0.9866550262360493
1928.5,0.9862812313251276,0.9862812313251276
1929.0,0.9859008625015745,0.9859008625015745
1929.5,0.9855137950289918,0.9855137950289918
1930.0,0.9851199017944561,0.9851199017944561
1930.5,0.9847190532685062,0.9847190532685062
1931.0,0.9843111174581305,0.9843111174581305
1931.5,0.9838959598611956,0.9838959598611956
1932.0,0.9834734434212682,0.9834734434212682
1932.5,0.9830434284822867,0.9830434284822867
1933.0,0.9826057727428047,0.9826057727428047
1933.5,0.9821603312096667,0.9821603312096667
1934.0,0.9817069561510392,0.9817069561510392
1934.5,0.9812454970487626,0.9812454970487626
1935.0,0.9807758005500039,0.9807758005500039
1935.5,0.9802977104182012,0.9802977104182012
1936.0,0.9798110674832965,0.9798110674832965
1936.5,0.9793157095912545,0.9793157095912545
1937.0,0.9788114715528708,0.9788114715528708
1937.5,0.9782981850918696,0.9782981850918696
1938.0,0.9777756787922949,0.9777756787922949
1938.5,0.9772437780451991,0.9772437780451991
1939.0,0.976702304994634,0.976702304994634
1939.5,0.976151078482948,0.976151078482948
1940.0,0.9755899139953988,0.9755899139953988
1940.5,0.975018623604084,0.975018623604084
1941.0,0.9744370161639286,0.9744370161639286
1941.5,0.9738448976834817,0.9738448976834817
1942.0,0.9732421245047905,0.9732421245047905
1942.5,0.9726285362932096,0.9726285362932096
1943.0,0.9720039632113555,0.9720039632113555
1943.5,0.9713682289550141,0.9713682289550141
1944.0,0.9707211520657032,0.9707211520657032
1944.5,0.9700625465216978,0.9700625465216978
1945.0,0.9693922220215413,0.9693922220215413
1945.5,0.9687099841312593,0.9687099841312593
1946.0,0.9680156343666836,0.9680156343666836
1946.5,0.9673089702413799,0.9673089702413799
1947.0,0.9665897852938453,0.9665897852938453
1947.5,0.9658578691006403,0.9658578691006403
1948.0,0.965113007279114,0.965113007279114
1948.5,0.964354981482015,0.964354981482015
1949.0,0.96358356938559,0.96358356938559
1949.5,0.9627985446723828,0.9627985446723828
1950.0,0.9619996770096924,0.9619996770096924
1950.5,0.9611867320244657,0.9611867320244657
1951.0,0.9603594712752637,0.9603594712752637
1951.5,0.9595176522218294,0.9595176522218294
1952.0,0.9586610281926988,0.9586610281926988
1952.5,0.9577893483512238,0.9577893483512238
1953.0,0.9569023576603173,0.9569023576603173
1953.5,0.955999796846186,0.955999796846186
1954.0,0.955081402361274,0.955081402361274
1954.5,0.9541469063466115,0.9541469063466115
1955.0,0.9531960366343629,0.9531960366343629
1955.5,0.9522285074882916,0.9522285074882916
1956.0,0.9512440224946765,0.9512440224946765
1956.5,0.9502422801549568,0.9502422801549568
1957.0,0.9492229754634327,0.9492229754634327
1957.5,0.9481858002568185,0.9481858002568185
1958.0,0.947130443205329,0.947130443205329
1958.5,0.9460565897115993,0.9460565897115993
1959.0,0.9449639217964741,0.9449639217964741
1959.5,0.9438521179935965,0.9438521179935965
1960.0,0.9427208532577575,0.9427208532577575
1960.5,0.941569798887174,0.941569798887174
1961.0,0.9403986224586768,0.9403986224586768
