time,DURS Model,CE Model,ET Model,CE & ET Model
1900.0,1.0,1.0,1.0,1.0
1900.5,0.9998586875,0.9998586736801662,0.9998586875,0.9998586736801662
1901.0,0.9997145355844627,0.9997145076671111,0.999727978693437,0.999727950338167
1901.5,0.9995678260264472,0.99956778376145,0.9995969625480402,0.9995969194352051
1902.0,0.9994182645099573,0.999418207618435,0.9994655299930614,0.9994654718940733
1902.5,0.9992657055571401,0.9992656337448748,0.9993336397725366,0.9993335664501574
1903.0,0.9991101375734117,0.9991100505425533,0.9992012569366611,0.9992011681442156
1903.5,0.9989515484272484,0.998951445875058,0.9990683516607327,0.9990682471413717
1904.0,0.998789941167023,0.9987898227865031,0.998934898605974,0.9989347780922023
1904.5,0.9986253554772755,0.9986252209601864,0.9988009513796919,0.9988008146000682
1905.0,0.9984577711456488,0.998457620176391,0.9986665497806543,0.9986663964597038
1905.5,0.9982871655105474,0.9982869977658603,0.9985317285151648,0.9985315583727683
1906.0,0.9981135133006085,0.9981133284493918,0.9983965897527899,0.9983964025105756
1906.5,0.9979367865763601,0.9979365842795724,0.9982611492079276,0.9982609445826772
1907.0,0.9977569547328439,0.9977567346434386,0.9981254264609801,0.998125204163846
1907.5,0.9975739845376457,0.9975737463005188,0.9979894391972574,0.9979891989338477
1908.0,0.997387840188483,0.9973875834404129,0.997853203197049,0.9978529446674663
1908.5,0.9971984833805247,0.9971982077500914,0.9977167324178086,0.9977164553166646
1909.0,0.9970058733773595,0.9970055784848391,0.9975800390863263,0.9975797431027311
1909.5,0.9968099670818703,0.9968096525390997,0.9974431338343592,0.997442818651879
1910.0,0.9966107191047316,0.996610384514945,0.9973060257915808,0.9973056910881749
1910.5,0.99640808182917,0.996407726786807,0.9971687226583501,0.9971683681062772
1911.0,0.9962020054712127,0.9962016295617032,0.9970311578474874,0.9970307831877249
1911.5,0.9959924381350246,0.9959920409345482,0.9968930683484719,0.996892673511551
1912.0,0.9957793258631651,0.9957789069383927,0.9967542690594661,0.9967538538976713
1912.5,0.9955626126817627,0.9955621715895785,0.9966146128515446,0.9966141771710094
1913.0,0.9953422405745087,0.9953417768617178,0.9964739566911772,0.996473500287682
1913.5,0.9951181494926125,0.9951176626956231,0.9963321346122946,0.9963316572980291
1914.0,0.9948902762655378,0.9948897659099065,0.9961890170195863,0.996188518564286
1914.5,0.9946585547667103,0.9946580203667011,0.9960444950901228,0.9960439752349795
1915.0,0.9944229165125852,0.9944223575707747,0.9958984739927655,0.9958979324575163
1915.5,0.9941832909931311,0.9941827070000335,0.9957508686590166,0.9957503051461903
1916.0,0.9939396058507242,0.9939389962844234,0.9956016105789174,0.9956010247651808
1916.5,0.993691786973551,0.99369115129933,0.9954506458526226,0.9954500373913144
1917.0,0.9934397585407175,0.9934390962106832,0.9952979205722263,0.9952972891085976
1917.5,0.9931834430399149,0.9931827534926355,0.9951433813983294,0.9951427265694379
1918.0,0.9929227612692971,0.9929220439294362,0.9949869753411481,0.9949862967758635
1918.5,0.9926576324037015,0.9926568866816409,0.9948286496409073,0.994827946959863
1919.0,0.9923879741421261,0.9923871994335868,0.9946683516665975,0.9946676244821034
1919.5,0.9921137025618197,0.9921128982474463,0.9945060290909452,0.9945052770064374
1920.0,0.9918347320290009,0.9918338974739126,0.994341634568905,0.9943408571738304
1920.5,0.9915509751404815,0.9915501096937946,0.9941751200240808,0.9941743168995272
1921.0,0.9912623426817968,0.9912614456761196,0.994006436835039,0.9940056075534316
1921.5,0.9909687435938183,0.9909678143447199,0.9938355358061305,0.9938346799309783
1922.0,0.9906700849434131,0.9906691227488658,0.9936623671542796,0.9936614842399034
1922.5,0.9903662718957087,0.9903652760355043,0.9934868804948386,0.9934859700860886
1923.0,0.990057207686643,0.9900561774217842,0.9933090248270506,0.9933080864590115
1923.5,0.9897427935950922,0.9897417281671573,0.9931287506385937,0.9931277838335894
1924.0,0.9894229289142122,0.9894218275446938,0.9929460149986491,0.9929450192606528
1924.5,0.9890975109218112,0.9890963728114278,0.9927606026526572,0.9927595778858849
1925.0,0.988766434849673,0.9887652591776563,0.9925716153989737,0.992570561038149
1925.5,0.9884295938518066,0.9884283797751601,0.9923789590375746,0.9923778745072
1926.0,0.9880868789716194,0.9880856256243501,0.9921825278783141,0.9921814125878284
1926.5,0.9877381791080283,0.9877368856003534,0.9919822135454774,0.9919810668882237
1927.0,0.9873833809805319,0.9873820463980563,0.991777905580306,0.9917767269326748
1927.5,0.9870223690932614,0.987020992496129,0.9915694917940852,0.9915682805147563
1928.0,0.9866550256980368,0.9866536061200535,0.991356818509728,0.9913555739308578
1928.5,0.9862812307564468,0.9862797672041761,0.9911397707349194,0.9911384921717659
1929.0,0.9859008619009734,0.985899353352804,0.9909182345423048,0.990916921290627
1929.5,0.9855137943951798,0.9855122398003634,0.9906920941935868,0.9906907455289117
1930.0,0.9851199011261034,0.9851182994037668,0.9904612322161611,0.990459847393025
1930.5,0.984719052564243,0.9847174026023732,0.9902255294207263,0.9902241076719088
1931.0,0.9843111167165446,0.9843094173709426,0.9899831978333633,0.9899817383691093
1931.5,0.983895959080832,0.9838942091740361,0.9897341350199681,0.9897326370271986
1932.0,0.9834734426006275,0.9834716409208046,0.989478192180973,0.9894766548226122
1932.5,0.9830434276198234,0.9830415729196289,0.9892152181635989,0.9892136405777087
1933.0,0.9826057718369264,0.9826038628323303,0.9889450592779891,0.9889434405769424
1933.5,0.9821603302587318,0.9821583656278117,0.98866754335459,0.9886658826138571
1934.0,0.981706955153356,0.9817049335350552,0.9883825023243157,0.9883807985985845
