time,ET Model,CE & ET Model
1900.0,0.0,0.0
1900.5,1.259343760269742,1.2592054941287576
1901.0,2.5059805276464835,2.5057053596858583
1901.5,3.731401560603846,3.7309919693779197
1902.0,4.936180023508629,4.935638297271217
1902.5,6.1204734198432185,6.119801736387378
1903.0,7.284543512192224,7.28374389823988
1903.5,8.428739039965008,8.427813353152736
1904.0,9.558311076970659,9.557260387279754
1904.5,10.673347386867734,10.672172739574128
1905.0,11.774244673534065,11.772946983418736
1905.5,12.867287649807993,12.865866975335368
1906.0,13.946134906539157,13.944592169114323
1906.5,15.011527300910679,15.009863192395
1907.0,16.063719310020154,16.06193447765599
1907.5,17.102917570306104,17.101012628655816
1908.0,18.129294116092243,18.127269657389665
1908.5,19.142992638346524,19.140849239928905
1909.0,20.14413842292292,20.141876651330286
1909.5,21.132838205160834,21.13045862031128
1910.0,22.10918157102091,22.106684728533487
1910.5,23.03243617892845,23.029837895960505
1911.0,23.795623871672234,23.792967293928573
1911.5,24.44530271458131,24.442591113920553
1912.0,25.007942525321685,25.005180006429246
1912.5,25.489944113993303,25.487139024992466
1913.0,25.882848583355994,25.88001326805613
1913.5,26.20894655981061,26.206082921848306
1914.0,26.482209977232547,26.47932029194373
1914.5,26.71226986805179,26.70935636129621
1915.0,26.906108423365016,26.90317318619277
1915.5,27.074011405333476,27.07105418592855
1916.0,27.22467926047667,27.221699464995268
1916.5,27.359238396508907,27.35623738269077
1917.0,27.478786201633486,27.47576522714616
1917.5,27.5843000264995,27.581260277503077
1918.0,27.676663393239988,27.673605987218625
1918.5,27.756679135986122,27.753605125263093
1919.0,27.825201967769196,27.822112225934642
1919.5,27.88513107633136,27.882025617047063
1920.0,27.93679198063046,27.93367151962619
1920.5,27.980518436649305,27.977383646557087
1921.0,28.016626586970233,28.01347810629464
1921.5,28.04541805670999,28.042256489936385
1922.0,28.067180853470663,28.064006771873697
1922.5,28.082190239110798,28.07900418161884
1923.0,28.09155490987827,28.088356875175336
1923.5,28.098356433677914,28.09514560537713
1924.0,28.081957636994726,28.07878811415109
1924.5,27.960902411761708,27.9577448150219
1925.0,27.82553114202269,27.822386746534733
1925.5,27.675774714613155,27.672644493149367
1926.0,27.512485231305096,27.50937006030987
1926.5,27.3365384513915,27.333439121916935
1927.0,27.148805592158894,27.145722817851752
1927.5,26.946438175253572,26.943372693014194
1928.0,26.734154535132156,26.731107116897252
1928.5,26.51295328869155,26.509924411955666
1929.0,26.28352730911831,26.280517400698468
1929.5,26.04654463782997,26.0435540745164
1930.0,25.802644287245524,25.799673398951917
1930.5,25.036742565136123,25.03385200396397
1931.0,24.276760245803633,24.273948917203256
1931.5,23.521299271882544,23.51856679683809
1932.0,22.770556118611147,22.767902127925975
1932.5,22.024729281346723,22.022153421818512
1933.0,21.283065880983155,21.280567416502965
1933.5,20.546309910098522,20.54388906414576
1934.0,19.815367880965933,19.813024313959616
1934.5,19.090679254076363,19.0884126138289
1935.0,18.37264073495329,18.370450657786964
1935.5,17.66160739063305,17.659493504546152
1936.0,16.95813239385709,16.95609429088134
1936.5,16.262474742706043,16.2605120157852
1937.0,15.57486515443578,15.572977397748472
1937.5,14.89550972685914,14.893696537251177
1938.0,14.224591315592908,14.222852293839008
1938.5,13.56227084375945,13.560605595691907
1939.0,12.908688589175274,12.90709672668422
1939.5,12.263965543937507,12.262446685825628
1940.0,11.628204617134182,11.626758389876866
1940.5,11.017401650100664,11.016025074035893
1941.0,10.473091008603387,10.471776231254363
1941.5,9.977775441735147,9.976516765840508
1942.0,9.520435299561147,9.519228360247537
1942.5,9.097956583741063,9.096796998904923
1943.0,8.713357356818614,8.712240822012937
1943.5,8.35778193166526,8.356705067256163
1944.0,8.025593308874065,8.0245534304736
1944.5,7.71290718111311,7.711902083948084
1945.0,7.416902744259596,7.415930571745443
1945.5,7.13351645548939,7.132575965169692
1946.0,6.8593604479498484,6.858450765059035
1946.5,6.593938780100128,6.593059083928359
1947.0,6.3367997801251725,6.335949305322913
1947.5,6.087543829080942,6.086721842574765
1948.0,5.845813304753422,5.845019127535993
1948.5,5.611277557654057,5.610510553988622
1949.0,5.383587275650971,5.3828468789979915
1949.5,5.161649364986084,5.160935137966328
1950.0,4.945312208432167,4.944623730444862
1950.5,4.734429398696174,4.733766265222701
1951.0,4.5288608991734405,4.528222720763957
1951.5,4.32847249756587,4.327858898979274
1952.0,4.135644796215384,4.1350245692224386
1952.5,3.955628427013342,3.9549863775780665
1953.0,3.7905539227784084,3.7898755989871318
1953.5,3.641540159995893,3.640811880263798
1954.0,3.5115036281470045,3.510709912149021
1954.5,3.406646062708464,3.4057741307243203
1955.0,3.327547917411707,3.326586052585914
1955.5,3.274494591501297,3.273432289294724
1956.0,3.247399656643582,3.246227754742796
1956.5,3.2458054857641154,3.244516284562465
1957.0,3.268890217209456,3.2674775827960474
1957.5,3.3154816242764626,3.3139410651740335
1958.0,3.3840790680503483,3.3824077771871797
1958.5,3.472884225829947,3.4710810805774814
1959.0,3.5798406282457305,3.577906143708079
1959.5,3.7026812903344224,3.700617524188966
1960.0,3.838982981152181,3.8367933918361428
1960.5,3.986225043284036,3.983914306756881
1961.0,4.141204206053405,4.138784171490159
1961.5,4.301510133995469,4.298982272784277
1962.0,4.465181817832108,4.46255252090033
1962.5,4.630024199447723,4.627300023215567
1963.0,4.794036731971412,4.79122410430201
1963.5,4.95544394475857,4.952548941697897
1964.0,5.1127162938157635,5.10974443891995
1964.5,5.264583850085825,5.261539939042762
1965.0,5.410042676273457,5.40693062679289
1965.5,5.550189520426126,5.546998479536666
1966.0,5.682379582214388,5.679125724909411
1966.5,5.806114205894476,5.802800209580494
1967.0,5.9211462836078335,5.91777371966906
1967.5,6.02744822836728,6.024017582519214
1968.0,6.125815669320598,6.122314778599287
1968.5,6.216504939979488,6.2129453139344415
1969.0,6.299004877909123,6.29538576907514
1969.5,6.3737812596859715,6.370100863607357
1970.0,6.441439599526073,6.437695088741312
1970.5,6.502705556019098,6.498893062570186
1971.0,6.559306623268086,6.5553949920349
1971.5,6.612201198496838,6.6082188597889155
1972.0,6.6601275788517045,6.656074955740471
1972.5,6.703585482277025,6.6994623343232
1973.0,6.743137486882259,6.73894293867129
1973.5,6.779395015322953,6.775127518943257
1974.0,6.813008149803906,6.80866548177568
1974.5,6.844810361709097,6.840389724690126
1975.0,6.875569384499092,6.871066969308718
1975.5,6.905808968574657,6.901220517265576
1976.0,6.935908492673204,6.931245088432076
1976.5,6.96615495948906,6.961388259453355
1977.0,6.998377191114334,6.993495530249034
1977.5,7.0335040994939355,7.028495107378138
1978.0,7.072430998130533,7.067281535565352
1978.5,7.116018963436606,7.110715119301142
1979.0,7.165093805213651,7.159620850519141
