time,Base Model,DURS Model,CE Model,ET Model,CE & ET Model
2034.0,0.5517685321583614,0.2583414369043228,0.2166908582235727,0.07613186257870104,0.06773511860180362
2034.5,0.5575524061083215,0.27608082967191,0.23355771945213638,0.07951399168214228,0.07032652771744348
2035.0,0.5632140215760356,0.2937354582929076,0.250326950557739,0.08288571922726015,0.07347091870060345
2035.5,0.5687544718308543,0.3112998357467359,0.2669927176028684,0.0862427929561703,0.0765963498631235
2036.0,0.5741749756196702,0.328768752700393,0.2835494273792841,0.08958063972112676,0.07969630108103344
2036.5,0.5794768669622858,0.3460633239333691,0.2999912924695898,0.09289434253077393,0.08276577782784786
2037.0,0.5846615851748008,0.36293745705633007,0.31631231335271415,0.09617859005253812,0.08579952077381345
2037.5,0.5897306651167821,0.3793918797341348,0.3325064258385621,0.0994282619063231,0.08879181176842357
2038.0,0.5946857276814523,0.39542810307330445,0.34855481888359785,0.10263829461639547,0.09173748163449819
2038.5,0.5995284707597092,0.41104839458176,0.36416483623478346,0.10580375293670102,0.09463140847700237
2039.0,0.6042606603872913,0.4262555408379213,0.37933735320946105,0.10891994598813451,0.09746861990228223
2039.5,0.6088841220554297,0.44105282448125127,0.3940739422164687,0.11198253129767058,0.10024449765075744
2040.0,0.6134007324110773,0.4554440787058819,0.4083778993674563,0.11498761320777144,0.10295488225137686
2040.5,0.6178124113603032,0.468338290785992,0.42225358234414784,0.12270426988538921,0.10559617087677761
2041.0,0.6221211145872458,0.480082785671188,0.43570584842951166,0.1314302951100118,0.10816565921029622
2041.5,0.6263288264981675,0.4915228022070795,0.4487401574748174,0.14008040554244117,0.11066538429050476
2042.0,0.6304375535965465,0.502661745533963,0.46136198242247317,0.14865359523180513,0.11310861405347081
2042.5,0.6344493182912763,0.513503414118488,0.4714605661863553,0.15715949507401955,0.11645801499747772
2043.0,0.6383661531362649,0.5227293624052697,0.4806575223160432,0.16559772332830647,0.12407080600078317
2043.5,0.6421900954961867,0.5306990611708848,0.48958706159255544,0.17396881766514485,0.13162835967576095
2044.0,0.645922926027776,0.5384874573084157,0.49825309084974195,0.1825153269504174,0.13936622780081126
2044.5,0.6495664501476923,0.5460215134066256,0.5066598893265214,0.19106857084429196,0.14719412115091884
2045.0,0.6531225151417867,0.5532612296503896,0.5148120414673668,0.19928098492595647,0.15490095706462356
2045.5,0.6565929782586069,0.560214786157607,0.5227141580256005,0.2073429164111335,0.16248474821571277
2046.0,0.6599796843006409,0.5668903712539528,0.5303711241228513,0.21524707541898294,0.169944777066251
2046.5,0.6632844555914186,0.5733133029242659,0.5377880596488991,0.2229963421047006,0.1772806205548027
2047.0,0.6665090648433896,0.5795757265785186,0.5448899149110481,0.23059261136735237,0.18449145887354323
2047.5,0.669654928077559,0.5856800954457806,0.5516225933151111,0.23803803247780247,0.19157585994193904
2048.0,0.6727238670597177,0.5916289905638137,0.5573817662910842,0.2427106629598304,0.1985323431665447
2048.5,0.6757176791252687,0.5974251035964744,0.5627157213516792,0.2473791503900531,0.20506474271814512
2049.0,0.6786381355095882,0.6030712209414424,0.5678061187212273,0.25193424061843755,0.21130716845323672
2049.5,0.6814869798768795,0.6085702086488789,0.5727265209311505,0.2563999238022683,0.21738009837376068
2050.0,0.6842659270860983,0.6139249979784076,0.5775148784422507,0.2607776468354221,0.22327927608158246
2050.5,0.6869766621893025,0.6191385721127416,0.5821749702037912,0.2650705693415185,0.22900835677772863
2051.0,0.6896208396410299,0.6242139539219536,0.5867105471165348,0.2692811122696476,0.23456900930111463
2051.5,0.6922000826928331,0.6291541955734068,0.5911254496634331,0.27341172488886695,0.23801977930607232
2052.0,0.6947159829479317,0.6339623700287293,0.5954235475988752,0.2774642038936865,0.24130700317516288
2052.5,0.6971701000537404,0.6386415636565743,0.5996086919738721,0.2814398500071482,0.24447936485727267
2053.0,0.6995639615132593,0.643194867280975,0.6036846795581616,0.28533991037355183,0.24754686569920756
2053.5,0.7018990631263144,0.6476253676330416,0.6076552144970327,0.28916556345146244,0.2505102855563522
2054.0,0.7041768690123362,0.6519361273343323,0.6115234350915852,0.2929179478989305,0.25337115956504447
2054.5,0.7063988116067039,0.6561301811374067,0.6152923747693665,0.2965981853466216,0.25613111784424597
2055.0,0.7085660965501535,0.6602105335560394,0.618964980831052,0.30020740512775923,0.25879198291257416
2055.5,0.7106800110058701,0.6641801032339664,0.6225441232938631,0.30374680386333264,0.2613557218659719
2056.0,0.7127418812764085,0.6680407605687014,0.6260325916594203,0.3072176712089651,0.26382444140100886
2056.5,0.7147530051193628,0.6717953117628469,0.6294330896239713,0.3106210422012737,0.2662016620246506
2057.0,0.7167146509015393,0.6754467044654735,0.6327482399196174,0.31395812946799767,0.26849310220406286
2057.5,0.7186280577602823,0.678997836751889,0.6359805874643367,0.31725945370327485,0.2707003803716918
2058.0,0.720494436136258,0.6824515532670581,0.6391291123700841,0.32069812803665254,0.2728270770766307
2058.5,0.722314968234294,0.6858106424361219,0.6421954099046734,0.3240796474000413,0.2749903392206185
2059.0,0.7240908084558889,0.6890778344579831,0.6451820471931053,0.3274294692899167,0.27723793926992807
2059.5,0.7258230444689416,0.69225579989011,0.6480915226673407,0.3309699736882462,0.27943431942584396
