time,DURS Model,CE Model,ET Model,CE & ET Model
1900.0,1.0,1.0,1.0,1.0
1900.5,0.9998586875,0.9998586875,0.9998586875,0.9998586875
1901.0,0.9997145355844627,0.9997145355844627,0.9997100577198794,0.9997100577198794
1901.5,0.9995678260264472,0.9995678260264472,0.9995590934445184,0.9995590934506939
1902.0,0.9994182645099573,0.999418264509989,0.9994057308414408,0.9994057308605341
1902.5,0.9992657055571401,0.9992657055572851,0.9992498905411216,0.9992498905802925
1903.0,0.9991101375734117,0.9991101375738112,0.999091499503915,0.9990914995707935
1903.5,0.9989515484272484,0.9989515484281077,0.9989304897539146,0.9989304898566297
1904.0,0.998789941167023,0.998789941168638,0.9987667976410121,0.9987667977882064
1904.5,0.9986253554772755,0.9986253554800004,0.9986004382570041,0.9986004384573717
1905.0,0.9984577711456488,0.9984577711499077,0.9984314230139154,0.9984314232766439
1905.5,0.9982871655105474,0.9982871655168322,0.9982597575839981,0.9982597579187878
1906.0,0.9981135133006085,0.9981135133094764,0.9980855145026718,0.9980855149193989
1906.5,0.9979367865763601,0.9979367865884314,0.9979086892096659,0.9979086897190841
1907.0,0.9977569547328439,0.9977569547487993,0.9977292709548148,0.9977292715682096
1907.5,0.9975739845376457,0.9975739845582241,0.9975472465587991,0.9975472472879968
1908.0,0.997387840188483,0.9973878402144793,0.9973626005193217,0.9973626013767043
1908.5,0.9971984833805247,0.9971984834127874,0.9971753150744215,0.9971753160729413
1909.0,0.9970058733773595,0.9970058734167889,0.9969853702758688,0.9969853714290628
1909.5,0.9968099670818703,0.9968099671294173,0.9967927441080411,0.9967927454300429
1910.0,0.9966107191047316,0.9966107191613954,0.9965974125706881,0.9965974140762441
1910.5,0.99640808182917,0.9964080818959973,0.99639934973813,0.9963993514426169
1911.0,0.9962020054712127,0.9962020055492967,0.9961992389732491,0.9961992408687314
1911.5,0.9959924381350246,0.9959924382255034,0.9959989797096988,0.9959989818143061
1912.0,0.9957793258631651,0.995779325967222,0.9957978413396508,0.9957978436676952
1912.5,0.9955626126817627,0.9955626128006245,0.9955953888359841,0.9955953914012665
1913.0,0.9953422405745087,0.9953422407094537,0.995391532962332,0.995391535769803
1913.5,0.9951181494926125,0.9951181496449683,0.9951864576463063,0.9951864607115795
1914.0,0.9948902762655378,0.9948902764366734,0.9949797768271341,0.9949797801643515
1914.5,0.9946585547667103,0.9946585549580392,0.9947712349375917,0.9947712385606357
1915.0,0.9944229165125852,0.9944229167255683,0.9945606470617726,0.99456065098448
1915.5,0.9941832909931311,0.994184991568285,0.9943478701990682,0.9943495748141481
1916.0,0.9939396058507242,0.9939430476669515,0.9941326839249508,0.9941361839485693
1916.5,0.993691786973551,0.9936970078766052,0.9939148882598243,0.9939202187203553
1917.0,0.9934397585407175,0.9934468003242012,0.9936944292428677,0.993701626219616
1917.5,0.9931834430399149,0.9931923496753182,0.9934712537882989,0.9934803546102609
1918.0,0.9929227612692971,0.992933577291347,0.993245309387518,0.9932563525681272
1918.5,0.9926576324037015,0.9926704029264602,0.9930165439000884,0.993029569088051
1919.0,0.9923879741421261,0.9924027446814946,0.9927849053850336,0.9927999533250113
1919.5,0.9921137025618197,0.9921305185890142,0.992550339229564,0.9925674508021193
1920.0,0.9918347320290009,0.9918536397217202,0.9923127434947242,0.9923319597638506
1920.5,0.9915509751404815,0.9915720214272703,0.992072069540256,0.9920934318325549
1921.0,0.9912623426817968,0.9912855752895448,0.9918282680285714,0.991851817101361
1921.5,0.9909687435938183,0.9909942110970974,0.9915812889047858,0.9916070659146711
1922.0,0.9906700849434131,0.9906978368148618,0.9913310813853343,0.9913591279753978
1922.5,0.9903662718957087,0.9903963585570024,0.9910775939458207,0.9911079522864046
1923.0,0.990057207686643,0.990089680559792,0.9908207743085351,0.9908534871372245
1923.5,0.9897427935950922,0.9897777051539458,0.9905605487659901,0.9905956594310967
1924.0,0.9894229289142122,0.9894603327361258,0.9902967922662836,0.9903343447587677
1924.5,0.9890975109218112,0.9891374617394929,0.9900293561881234,0.9900693954177402
1925.0,0.988766434849673,0.9888089886032588,0.9897577117314981,0.9898002830997688
1925.5,0.9884295938518066,0.988474807741231,0.9894817858120766,0.9895269354838637
1926.0,0.9880868789716194,0.9881348115093675,0.9892014931515487,0.9892492587961249
1926.5,0.9877381791080283,0.987788890172361,0.9889167451056414,0.9889671398314173
1927.0,0.9873833809805319,0.9874369318692781,0.9886274502893231,0.9886804969949305
1927.5,0.9870223690932614,0.9870788225782778,0.9883335149518145,0.9883892425434649
1928.0,0.9866550256980368,0.9867144460813255,0.9880348032393672,0.988093242112943
1928.5,0.9862812307564468,0.9863436839275014,0.9877312173888925,0.9877923958121567
1929.0,0.9859008619009734,0.9859664154103556,0.9874226601279551,0.9874866118602608
1929.5,0.9855137943951798,0.98558251752761,0.9871090318180129,0.9871757944310557
1930.0,0.9851199011261034,0.9851918649671058,0.9867902305495584,0.9868598445282748
1930.5,0.984719052564243,0.9847943300639038,0.9864661521776167,0.9865386603957524
1931.0,0.9843111167165446,0.9843897827524206,0.9861366903384259,0.9862121391547607
1931.5,0.983895959080832,0.9839780905211903,0.98580179015263,0.9858802291785868
1932.0,0.9834734426006275,0.9835591183687143,0.9854613425826264,0.9855428227268507
1932.5,0.9830434276198234,0.983132728759588,0.985115236895417,0.9851998103758162
1933.0,0.9826057718369264,0.9826987815804727,0.9847633603883037,0.9848510807485614
1933.5,0.9821603302587318,0.9822571340946347,0.9844055823730616,0.9844965044939255
1934.0,0.981706955153356,0.9818076408947014,0.9840417766997638,0.9841359568376834
