time,ET Model,CE & ET Model
1900.0,6.148611915972571,6.148102717914719
1900.5,6.616019629359673,6.615352571689205
1901.0,6.6179395043472145,6.617273054138294
1901.5,6.614690210685989,6.614025666208315
1902.0,6.609424331080972,6.608761930473184
1902.5,6.602436791733382,6.601776682154949
1903.0,6.5940119412524325,6.5933541865500125
1903.5,6.584410507983436,6.583755107156743
1904.0,6.576970468048569,6.576316669377722
1904.5,6.570927763324397,6.57027505655173
1905.0,6.565965988792639,6.565313945133705
1905.5,6.56466124466929,6.564008869222179
1906.0,6.563398689763833,6.562745868983062
1906.5,6.562366667356621,6.561713211737061
1907.0,6.561531521034338,6.560877270612031
1907.5,6.560867257669647,6.560212077287603
1908.0,6.560355970703924,6.559699746117532
1908.5,6.55998585603343,6.559328490364624
1909.0,6.55974975308093,6.559091163655078
1909.5,6.559643689097418,6.558983804848788
1910.0,6.3678456195548145,6.367231522232167
1910.5,5.71586826185529,5.71538944628124
1911.0,5.298160910132872,5.297770233727751
1911.5,5.004380695311126,5.004049255818523
1912.0,4.747725471077305,4.747445173501823
1912.5,4.476737166141307,4.476506559540078
1913.0,4.286890752264755,4.286694446640415
1913.5,4.1452139826656635,4.1450425432835285
1914.0,4.034788545477965,4.034636091241939
1914.5,3.945962502420758,3.945825101393004
1915.0,3.886357292203222,3.886229485595935
1915.5,3.850384063337474,3.8502625627986493
1916.0,3.817716328852986,3.8176005006506823
1916.5,3.787953128600072,3.7878425177915016
1917.0,3.760763218207716,3.760657339017426
1917.5,3.73586808253687,3.7357663555783875
1918.0,3.7130321087432554,3.7129338284759417
1918.5,3.692357551385955,3.692261658564614
1919.0,3.6788054456564816,3.67871030713088
1919.5,3.666149568425999,3.6660541627058922
1920.0,3.6543408075708084,3.654244023621236
1920.5,3.6433356635694922,3.6432362938903324
1921.0,3.6330946818370435,3.6329914452732086
1921.5,3.6235820656976045,3.623473629180074
1922.0,3.614765265527865,3.6146502643873255
1922.5,3.60859075073692,3.6084671453151933
1923.0,3.6096795862435256,3.6095453380959492
1923.5,3.6109533810919516,3.610807168354529
1924.0,3.61187542143592,3.6117174114702313
1924.5,3.6104633490174933,3.610291360433213
1925.0,3.6096322896785034,3.609445084919919
1925.5,3.6093370475782343,3.609133438269052
1926.0,3.6095608760350237,3.6093397326875514
1926.5,3.6102883809117983,3.610048636133467
1927.0,3.6133112641931247,3.613051765442847
1927.5,3.616742998618877,3.616462705345734
